_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
60189cc00a720f05f4000063,2021-02-01 19:28:48,013562300631,,5.0,50.0,60189c74c8b50e11d8454eff
60189c990a7214ad28000041,2021-02-01 19:28:09,4011,,4.0,21.0,60189c94c8b50e11d8454f6b
60189c920a7214ad2800003a,2021-02-01 19:28:02,,,0.0,0.0,60189c92c8b50e11d8454f5d
5fb1bd510a7214ad890000e3,2020-11-15 18:44:17,075925306254,,11.0,1.0,5fb1bd519c09d811e5211cef
60189ca00a7214ad28000048,2021-02-01 19:28:16,4011,,1.0,1.0,54943462e4b07e684157a532
60189c750a720f05f400005d,2021-02-01 19:27:33,4011,,2.0,11.0,54943462e4b07e684157a532
60189c900a7214ad28000038,2021-02-01 19:28:00,4011,,1.0,10.0,60189c90c8b50e11d8454f49
60189cc10a7214ad28000050,2021-02-01 19:28:49,070470149394,BRAND,1.0,10.0,60189c74c8b50e11d8454eff
60189c7d0a7214ad28000030,2021-02-01 19:27:41,4011,,1.0,1.0,60189c74c8b50e11d8454eff
60189cae0a7214ad2800004f,2021-02-01 19:28:30,,MISSION,1.0,2.23,60189c74c8b50e11d8454eff
60189cb40a720f05f4000060,2021-02-01 19:28:36,,,3.0,3.0,60189c74c8b50e11d8454eff
60189cbe0a720f05f4000062,2021-02-01 19:28:46,4011,,2.0,11.0,60189c74c8b50e11d8454eff
5fb2da580a7214ad89000114,2020-11-16 15:00:24,075925306254,,11.0,1.0,5fb2da582357ec11d4ecc403
601aaf580a7214ad280001ca,2021-02-03 09:12:40,043000080443,,5.0,25.0,601aaebde409201029849b3c
601aaf7a0a720f05f40001e8,2021-02-03 09:13:14,013000009263,,1.0,9.99,601aaebde409201029849b3c
601ac1d80a720f05f40001fe,2021-02-03 10:31:36,021000045006,,1.0,1.0,54943462e4b07e684157a532
601aaf710a720f05f40001e6,2021-02-03 09:13:05,029000019416,,4.0,4.66,601aaebde409201029849b3c
601c68b50a720f05f40002c8,2021-02-04 16:35:49,4011,,2.0,1.0,601c6887969c0b11f7d0c81f
601c68ce0a7214ad280002d6,2021-02-04 16:36:14,4011,,8.0,29.0,601c68ce29c30a1227ada468
601c2c3a0a720f05f40002a2,2021-02-04 12:17:46,087684009338,,1.0,9.99,601c2c05969c0b11f7d0b097
601c2c540a720f05f40002a4,2021-02-04 12:18:12,021000054602,,1.0,10.0,601c2c05969c0b11f7d0b097
601c68c70a7214ad280002d2,2021-02-04 16:36:07,4011,,1.0,1.0,601c6887969c0b11f7d0c81f
601d7c000a7214ad590002a1,2021-02-05 12:10:24,,,,28.57,59c124bae4b0299e55b0f330
601d7c180a720f05540002fd,2021-02-05 12:10:48,,,,28.57,59c124bae4b0299e55b0f330
601d77170a720f053c00000a,2021-02-05 11:49:27,,,,28.57,59c124bae4b0299e55b0f330
601d7b8e0a720f0554000079,2021-02-05 12:08:30,,,,28.57,59c124bae4b0299e55b0f330
601d7d580a7214ad59000928,2021-02-05 12:16:08,,,,28.57,59c124bae4b0299e55b0f330
601d7cf90a720f055400070e,2021-02-05 12:14:33,,,,28.57,59c124bae4b0299e55b0f330
601d77180a720f053c00000f,2021-02-05 11:49:28,,,,28.57,59c124bae4b0299e55b0f330
601d7d540a720f05540008a6,2021-02-05 12:16:04,,,,28.57,59c124bae4b0299e55b0f330
601d7ba00a720f05540000d2,2021-02-05 12:08:48,,,,28.57,59c124bae4b0299e55b0f330
601d7bb60a7214ad59000141,2021-02-05 12:09:10,,,,28.57,59c124bae4b0299e55b0f330
601d7cd30a720f0554000663,2021-02-05 12:13:55,,,,28.57,59c124bae4b0299e55b0f330
601d7b730a720f0554000006,2021-02-05 12:08:03,,,,28.57,59c124bae4b0299e55b0f330
601d7d340a7214ad5900086c,2021-02-05 12:15:32,,,,28.57,59c124bae4b0299e55b0f330
601d7c1e0a720f055400031a,2021-02-05 12:10:54,,,,28.57,59c124bae4b0299e55b0f330
